in s,C1 in V
-5.9698468E-01,2.3155212E-03
-5.9697552E-01,2.3384094E-03
-5.9696636E-01,2.3078918E-03
-5.9695720E-01,2.3155212E-03
-5.9694804E-01,2.3384094E-03
-5.9693888E-01,2.3384094E-03
-5.9692972E-01,2.3155212E-03
-5.9692056E-01,2.2621155E-03
-5.9691140E-01,2.3155212E-03
-5.9690224E-01,2.2926331E-03
-5.9689308E-01,2.2850037E-03
-5.9688392E-01,2.2697449E-03
-5.9687476E-01,2.3078918E-03
-5.9686560E-01,2.2773743E-03
-5.9685644E-01,2.2850037E-03
-5.9684728E-01,2.2468567E-03
-5.9683812E-01,2.2926331E-03
-5.9682896E-01,2.2926331E-03
-5.9681980E-01,2.3155212E-03
-5.9681064E-01,2.3384094E-03
-5.9680148E-01,2.3307800E-03
-5.9679232E-01,2.3384094E-03
-5.9678316E-01,2.3002625E-03
-5.9677400E-01,2.2468567E-03
-5.9676484E-01,2.2697449E-03
-5.9675568E-01,2.2850037E-03
-5.9674652E-01,2.2773743E-03
-5.9673736E-01,2.2621155E-03
-5.9672820E-01,2.3155212E-03
-5.9671904E-01,2.2926331E-03
-5.9670988E-01,2.2697449E-03
-5.9670072E-01,2.2850037E-03
-5.9669156E-01,2.2621155E-03
-5.9668240E-01,2.3307800E-03
-5.9667324E-01,2.3231506E-03
-5.9666408E-01,2.3002625E-03
-5.9665492E-01,2.3002625E-03
-5.9664576E-01,2.3155212E-03
-5.9663660E-01,2.2926331E-03
-5.9662744E-01,2.3078918E-03
-5.9661828E-01,2.2544861E-03
-5.9660912E-01,2.2697449E-03
-5.9659996E-01,2.2697449E-03
-5.9659080E-01,2.2773743E-03
-5.9658164E-01,2.2468567E-03
-5.9657248E-01,2.2621155E-03
-5.9656332E-01,2.3078918E-03
-5.9655416E-01,2.2850037E-03
-5.9654500E-01,2.3155212E-03
-5.9653584E-01,2.2926331E-03
-5.9652668E-01,2.3536682E-03
-5.9651752E-01,2.3384094E-03
-5.9650836E-01,2.3155212E-03
-5.9649920E-01,2.3002625E-03
-5.9649004E-01,2.3231506E-03
-5.9648088E-01,2.3384094E-03
-5.9647172E-01,2.3307800E-03
-5.9646256E-01,2.3612976E-03
-5.9645340E-01,2.3460388E-03
-5.9644424E-01,2.3765564E-03
-5.9643508E-01,2.3002625E-03
-5.9642592E-01,2.2850037E-03
-5.9641676E-01,2.2926331E-03
-5.9640760E-01,2.3155212E-03
-5.9639844E-01,2.3612976E-03
-5.9638928E-01,2.3384094E-03
-5.9638012E-01,2.3536682E-03
-5.9637096E-01,2.3002625E-03
-5.9636180E-01,2.3536682E-03
-5.9635264E-01,2.3078918E-03
-5.9634348E-01,2.2697449E-03
