Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
2.88400148035468e+02,1.25103842203588e+00,4.02588584885111e-02,-1.21977167502095e+01,1.11693127029420e+00
2.98570557291781e+02,1.25114873904479e+00,-3.57473755769991e-02,-1.21976039893643e+01,1.07889392487132e+00
3.09099625255953e+02,1.25125133202845e+00,-1.11797832400145e-01,-1.21974987771347e+01,1.04215133972623e+00
3.20000000000002e+02,1.25134669356162e+00,-1.87983744788433e-01,-1.21974006083543e+01,1.00665950249987e+00
3.31284775629243e+02,1.25143528153143e+00,-2.64396520901866e-01,-1.21973090116420e+01,9.72375890984239e-01
3.42967508011616e+02,1.25151752132607e+00,-3.41127852432022e-01,-1.21972235471449e+01,9.39259423257138e-01
3.55062231061713e+02,1.25159380787509e+00,-4.18269824606247e-01,-1.21971438044325e+01,9.07270409427307e-01
3.67583473599054e+02,1.25166450753858e+00,-4.95915025025505e-01,-1.21970694005303e+01,8.76370504943830e-01
3.80546276800874e+02,1.25172995986140e+00,-5.74156653849270e-01,-1.21969999780851e+01,8.46522665424284e-01
3.93966212270376e+02,1.25179047920262e+00,-6.53088635756137e-01,-1.21969352036525e+01,8.17691102956992e-01
4.07859400742167e+02,1.25184635623923e+00,-7.32805731445146e-01,-1.21968747660983e+01,7.89841243833527e-01
4.22242531447330e+02,1.25189785936242e+00,-8.13403651370333e-01,-1.21968183751078e+01,7.62939687668485e-01
4.37132882161410e+02,1.25194523596062e+00,-8.94979169717593e-01,-1.21967657597927e+01,7.36954167864447e-01
4.52548339959394e+02,1.25198871360864e+00,-9.77630240305065e-01,-1.21967166673930e+01,7.11853513380974e-01
4.68507422702604e+02,1.25202850115592e+00,-1.06145611431792e+00,-1.21966708620638e+01,6.87607611767422e-01
4.85029301283332e+02,1.25206478973039e+00,-1.14655745822163e+00,-1.21966281237448e+01,6.64187373420319e-01
5.02133822653925e+02,1.25209775365431e+00,-1.23303647504922e+00,-1.21965882471037e+01,6.41564697027006e-01
