Freq,V(filterout)_mag_dB,V(filterout)_phase_deg,V(vin)_mag_dB,V(vin)_phase_deg
4.38998410254874e+04,1.02569519209333e-01,-1.69186932414502e+02,-1.21960326913820e+01,7.33864188656564e-03
4.54479655758998e+04,-9.97817421486393e-03,-1.75525011899512e+02,-1.21960326865136e+01,7.08866080587933e-03
4.70506846206794e+04,-1.35621659123247e-01,1.77877079562220e+02,-1.21960326819712e+01,6.84719499823627e-03
4.87099234305124e+04,-2.76225064892458e-01,1.71007509392284e+02,-1.21960326777330e+01,6.61395440220250e-03
5.04276751706087e+04,-4.33976613893471e-01,1.63854264731993e+02,-1.21960326737787e+01,6.38865883689876e-03
5.22060032949979e+04,-6.11450633088102e-01,1.56405420720171e+02,-1.21960326700891e+01,6.17103766543277e-03
5.40470440252588e+04,-8.11676881341051e-01,1.48649560725469e+02,-1.21960326666466e+01,5.96082946979625e-03
5.59530089166611e+04,-1.03821289498491e+00,1.40576407619206e+02,-1.21960326634347e+01,5.75778173683606e-03
5.79261875148031e+04,-1.29521039505031e+00,1.32177733958005e+02,-1.21960326604378e+01,5.56165055492237e-03
5.99689501059340e+04,-1.58745996988568e+00,1.23448616676309e+02,-1.21960326576417e+01,5.37220032094935e-03
6.20837505642671e+04,-1.92038943420777e+00,1.14389076828985e+02,-1.21960326550328e+01,5.18920345731647e-03
6.42731292997030e+04,-2.29998190440190e+00,1.05006082099269e+02,-1.21960326525986e+01,5.01244013855050e-03
6.65397163095041e+04,-2.73257320989335e+00,9.53157762890064e+01,-1.21960326503274e+01,4.84169802723970e-03
6.88862343375856e+04,-3.22449067554754e+00,8.53456367944693e+01,-1.21960326482083e+01,4.67677201896306e-03
7.13155021452199e+04,-3.78151361568666e+00,7.51360800340599e+01,-1.21960326462311e+01,4.51746399590821e-03
7.38304378970806e+04,-4.40817428753599e+00,6.47409111168909e+01,-1.21960326443863e+01,4.36358258888194e-03
7.64340626666967e+04,-5.10697159385533e+00,5.42260535952143e+01,-1.21960326426651e+01,4.21494294742756e-03
7.91295040655249e+04,-5.87761975406417e+00,4.36662794142197e+01,-1.21960326410591e+01,4.07136651777285e-03
8.19200000000016e+04,-6.71647198307554e+00,3.31401628362694e+01,-1.21960326395607e+01,3.93268082834199e-03
8.48089025610873e+04,-7.61622246240245e+00,2.27240285929604e+01,-1.21960326381626e+01,3.79871928257360e-03
8.77996820509749e+04,-8.56590085192286e+00,1.24859916562198e+01,-1.21960326368581e+01,3.66932095879632e-03
9.08959311517997e+04,-9.55106322525556e+00,2.48110788151304e+00,-1.21960326356410e+01,3.54433041692121e-03
9.41013692413590e+04,-1.05539915692180e+01,-7.25180845737207e+00,-1.21960326345055e+01,3.42359751171901e-03
9.74198468610249e+04,-1.15536599607251e+01,-1.66917933154370e+01,-1.21960326334459e+01,3.30697721245779e-03
1.00855350341218e+05,-1.25251897674912e+01,-2.58364856058026e+01,-1.21960326324573e+01,3.19432942868447e-03
1.04412006589996e+05,-1.34384400128182e+01,-3.47033046879139e+01,-1.21960326315349e+01,3.08551884194077e-03
1.08094088050518e+05,-1.42551577325319e+01,-4.33331074725963e+01,-1.21960326306743e+01,2.98041474321160e-03
1.11906017833322e+05,-1.49235343677079e+01,-5.18002211595830e+01,-1.21960326298713e+01,2.87889087591055e-03
1.15852375029606e+05,-1.53675233914546e+01,-6.02382285769677e+01,-1.21960326291221e+01,2.78082528421383e-03
1.19937900211868e+05,-1.54641278872866e+01,-6.89094953103321e+01,-1.21960326284231e+01,2.68610016656049e-03
1.24167501128534e+05,-1.49886512255977e+01,-7.84229347600783e+01,-1.21960326277708e+01,2.59460173414308e-03
1.28546258599406e+05,-1.34583397639155e+01,-9.06311025882776e+01,-1.21960326271623e+01,2.50622007421847e-03
1.33079432619008e+05,-9.66186041392370e+00,-1.14654976629281e+02,-1.21960326265945e+01,2.42084901807493e-03
1.37772468675171e+05,-7.71485831906147e+00,1.59321372053064e+02,-1.21960326260647e+01,2.33838601349667e-03
1.42631004290440e+05,-1.73292958000225e+01,1.11064030739269e+02,-1.21960326255704e+01,2.25873200157275e-03
1.47660875794162e+05,-2.42219016497282e+01,9.59614179404763e+01,-1.21960326251092e+01,2.18179129770228e-03
1.52868125333394e+05,-2.95538402156449e+01,8.68421551373268e+01,-1.21960326246789e+01,2.10747147665304e-03
1.58259008131050e+05,-3.40993813813616e+01,7.97699985305517e+01,-1.21960326242774e+01,2.03568326153543e-03
1.63840000000003e+05,-3.81818525806666e+01,7.37054187033972e+01,-1.21960326239028e+01,1.96634041655841e-03
1.69617805122175e+05,-4.19619702330520e+01,6.82567794151323e+01,-1.21960326235533e+01,1.89935964343846e-03
1.75599364101950e+05,-4.55304583875454e+01,6.32416027344016e+01,-1.21960326232272e+01,1.83466048133734e-03
1.81791862303600e+05,-4.89433159703410e+01,5.85616580827609e+01,-1.21960326229229e+01,1.77216521020830e-03
1.88202738482718e+05,-5.22374384685790e+01,5.41581253042755e+01,-1.21960326226390e+01,1.71179875743461e-03
1.94839693722050e+05,-5.54383675873662e+01,4.99927504123349e+01,-1.21960326223741e+01,1.65348860764846e-03
2.01710700682435e+05,-5.85644815231330e+01,4.60389562272367e+01,-1.21960326221270e+01,1.59716471562162e-03
2.08824013179992e+05,-6.16294185108238e+01,4.22772585165314e+01,-1.21960326218964e+01,1.54275942212343e-03
2.16188176101036e+05,-6.46435563830899e+01,3.86927272980320e+01,-1.21960326216812e+01,1.49020737264498e-03
2.23812035666645e+05,-6.76149567832977e+01,3.52734952238444e+01,-1.21960326214805e+01,1.43944543889184e-03
2.31704750059213e+05,-7.05499904902538e+01,3.20098361391685e+01,-1.21960326212932e+01,1.39041264295099e-03
2.39875800423737e+05,-7.34537648002363e+01,2.88935706729772e+01,-1.21960326211184e+01,1.34305008404097e-03
2.48335002257069e+05,-7.63304236546158e+01,2.59176679634483e+01,-1.21960326209554e+01,1.29730086775715e-03
2.57092517198813e+05,-7.91833634467957e+01,2.30759696925029e+01,-1.21960326208032e+01,1.25311003772714e-03
2.66158865238017e+05,-8.20153914659920e+01,2.03629930746956e+01,-1.21960326206613e+01,1.21042450959435e-03
2.75544937350343e+05,-8.48288444025179e+01,1.77737864173795e+01,-1.21960326205288e+01,1.16919300725023e-03
2.85262008580880e+05,-8.76256784692565e+01,1.53038206793168e+01,-1.21960326204053e+01,1.12936600123871e-03
2.95321751588323e+05,-9.04075389777063e+01,1.29489063156444e+01,-1.21960326202900e+01,1.09089564925880e-03
3.05736250666788e+05,-9.31758147953284e+01,1.07051283035611e+01,-1.21960326201824e+01,1.05373573869392e-03
3.16518016262100e+05,-9.59316815109072e+01,8.56879452306358e+00,-1.21960326200820e+01,1.01784163109884e-03
3.27680000000007e+05,-9.86761360516929e+01,6.53639414456423e+00,-1.21960326199883e+01,9.83170208577631e-04
3.39235610244350e+05,-1.01410024749731e+02,4.60456365513902e+00,-1.21960326199010e+01,9.49679821988186e-04
3.51198728203901e+05,-1.04134066331793e+02,2.77005881930420e+00,-1.21960326198194e+01,9.17330240911069e-04
3.63583724607200e+05,-1.06848870935218e+02,1.02973132970086e+00,-1.21960326197434e+01,8.86082605322608e-04
3.76405476965437e+05,-1.09554955983416e+02,-6.19490772847774e-01,-1.21960326196724e+01,8.55899378914194e-04
3.89679387444101e+05,-1.12252759558390e+02,-2.18061959765709e+00,-1.21960326196062e+01,8.26744304001677e-04
4.03421401364871e+05,-1.14942651762155e+02,-3.65662133870545e+00,-1.21960326195444e+01,7.98582357970732e-04
4.17648026359985e+05,-1.17624944449874e+02,-5.05042803733920e+00,-1.21960326194867e+01,7.71379711205844e-04
4.32376352202072e+05,-1.20299899634816e+02,-6.36494747093582e+00,-1.21960326194330e+01,7.45103686452388e-04
4.47624071333291e+05,-1.22967736801819e+02,-7.60307139427437e+00,-1.21960326193828e+01,7.19722719562990e-04
4.63409500118427e+05,-1.25628639316719e+02,-8.76768230678425e+00,-1.21960326193359e+01,6.95206321581005e-04
4.79751600847474e+05,-1.28282760080742e+02,-9.86165887863997e+00,-1.21960326192922e+01,6.71525042115576e-04
4.96670004514139e+05,-1.30930226548340e+02,-1.08878801390728e+01,-1.21960326192515e+01,6.48650433964272e-04
5.14185034397627e+05,-1.33571145202755e+02,-1.18492285091459e+01,-1.21960326192135e+01,6.26555018940805e-04
5.32317730476035e+05,-1.36205605564061e+02,-1.27485917471071e+01,-1.21960326191780e+01,6.05212254866784e-04
5.51089874700687e+05,-1.38833683788812e+02,-1.35888638660239e+01,-1.21960326191449e+01,5.84596503687850e-04
5.70524017161762e+05,-1.41455445907759e+02,-1.43729450797679e+01,-1.21960326191140e+01,5.64683000675894e-04
5.90643503176648e+05,-1.44070950737943e+02,-1.51037408336131e+01,-1.21960326190851e+01,5.45447824680359e-04
6.11472501333577e+05,-1.46680252497387e+02,-1.57841599790018e+01,-1.21960326190582e+01,5.26867869392887e-04
6.33036032524202e+05,-1.49283403144240e+02,-1.64171121575893e+01,-1.21960326190331e+01,5.08920815590810e-04
6.55360000000016e+05,-1.51880454457334e+02,-1.70055044668047e+01,-1.21960326190097e+01,4.91585104326118e-04
6.78471220488701e+05,-1.54471459871554e+02,-1.75522374870998e+01,-1.21960326189879e+01,4.74839911027712e-04
7.02397456407802e+05,-1.57056476078862e+02,-1.80602007591357e+01,-1.21960326189675e+01,4.58665120485833e-04
7.27167449214400e+05,-1.59635564404312e+02,-1.85322678067075e+01,-1.21960326189485e+01,4.43041302688611e-04
7.52810953930875e+05,-1.62208791965608e+02,-1.89712908076420e+01,-1.21960326189307e+01,4.27949689481707e-04
7.79358774888202e+05,-1.64776232624651e+02,-1.93800950197143e+01,-1.21960326189142e+01,4.13372152023018e-04
8.06842802729744e+05,-1.67337967739956e+02,-1.97614730714058e+01,-1.21960326188987e+01,3.99291179005356e-04
8.35296052719972e+05,-1.69894086729633e+02,-2.01181792277778e+01,-1.21960326188843e+01,3.85689855620938e-04
8.64752704404145e+05,-1.72444687455670e+02,-2.04529237396805e+01,-1.21960326188709e+01,3.72551843242431e-04
8.95248142666583e+05,-1.74989876441512e+02,-2.07683673799414e+01,-1.21960326188583e+01,3.59861359796128e-04
9.26819000236855e+05,-1.77529768936130e+02,-2.10671162631734e+01,-1.21960326188466e+01,3.47603160803690e-04
9.59503201694949e+05,-1.80064488838966e+02,-2.13517170365916e+01,-1.21960326188357e+01,3.35762521069674e-04
9.93340009028279e+05,-1.82594168501143e+02,-2.16246525180884e+01,-1.21960326188255e+01,3.24325216992848e-04
1.00000000000000e+06,-1.83081346828548e+02,-2.16761398308793e+01,-1.21960326188236e+01,3.22165213975822e-04
